,0
0,1584597890617724928
1,bdunn300
2,samanth96173787
3,julie55443
4,GopherTheW
5,nmjohnson89
6,mnhumanrights
7,DrWalzMN
8,JodyAlford17
9,DianeRochMN
10,claybyington
11,magentanetzwerk
12,cj_devaan
13,wildmarshphoto
14,cbs144
15,pamgriffa
16,GSwensonSD
17,carsonca
18,OHarrysChar
19,Janeway12004
20,Skel531
21,ConradHarms
22,robgriddle
23,2672Local
24,dolly_horse
25,cdmorben
26,KarenJMerchant1
27,mrdunaganbailey
28,ConnieS53426503
29,EkbMary
30,Koogslaw
31,RiceCountyDFL
32,jenwo513
33,ouboomer61
34,AmyOnThePrairie
35,dandrenorton
36,mariedangelo22
37,BonneHargan
38,pat_thiel
39,Cindi1218
40,msbwul
41,IndivisibleMN58
42,SparkAlicia
43,Dirtface1
44,TShark4
45,frenfer123
46,LiLSilverJ
47,PHILCP69
48,BizonHornsUp
49,AnneLueben
50,purpleardvark
51,Chazraps
52,nsjww
53,MagentaMN
54,RTeachquijote
55,BillGoodermont
56,MorrisOldtom
57,jonimanderson
58,SharonJ94772600
59,MssBrown2u
60,pblefty3
61,OpalEssence1990
62,JenniferNicoleN
63,krisartis123
64,SibilYarn
65,Lmhaydu
66,james_lagow
67,Candor2016
68,Elizabe70853104
69,sue18137535
70,barlondsmith
71,jaylindgren08
72,ItsThiaRose
73,Mjaysmama
74,Phoenixcruiser1
75,mst3kharris
76,crazylunchguy
77,KarenWe44853431
78,Anytweetya
79,garvis_bill
80,tracy_marie25
81,ArealbossAM
82,AzSalmen
83,theusedtommo
84,missb62
85,MerryJon52
86,vpmattsaxe
87,gar757
88,DZPoodle
89,1585694736786096128
90,votematters2021
91,MZDIVA4LYFE0915
92,BergumT
93,faympras
94,EricroyN
95,LauraTripp57
96,SarahStruck4
97,JeffJun80346519
98,Frye1Virginia
99,amyj9702
100,KatP147369
101,kathleen1350
102,cj_devaan
103,msdebmn
104,SenateDFL
105,tina_pede
106,ConradHarms
107,marymackcomedy
108,kaybeekh
109,PeleKoolAid
110,mc1748
111,sweetbabygames6
112,robgriddle
113,SasekThomas
114,fields_hl
115,MLeibfried
116,DaleTL
117,mgido
118,kmneun
119,toms999
120,ElizabethLund11
121,dmillercfp
122,queenoftens
123,MattMoberg
124,carol49er
125,LiLSilverJ
126,Vanvikes
127,freebluebird19
128,uswanie49
129,RiceCountyDFL
130,federicolentini
131,grammycam
132,Empowerer
133,MN_Carlson
134,noventurenogain
135,Bemidji_Rita
136,kperrymn
137,larsonand83
138,HennRegionsPD
139,jsc1835
140,robbynb
141,bowsensboating
