,Name,Score,Raw,,
1,SingleMomx2,"{'english': 0.7826357858330618, 'universal': 0.8052444082217497}",{'english': 0.782635785833061, 0.782635785833061,0.782635786
2,OstlundGary,"{'english': 0.7920317685697057, 'universal': 0.8052475029769541}",{'english': 0.792031768569705, 0.792031768569705,0.792031769
3,johnnywrenn,"{'english': 0.8395863545645614, 'universal': 0.813043153461001}",{'english': 0.839586354564561, 0.839586354564561,0.839586355
4,Reenit,"{'english': 0.8100783815308749, 'universal': 0.8052176344738626}",{'english': 0.810078381530874, 0.810078381530874,0.810078382
5,JamesSMcGowan,"{'english': 0.8395863545645614, 'universal': 0.8052478284119403}",{'english': 0.839586354564561, 0.839586354564561,0.839586355
6,DJD81553730,"{'english': 0.7176911080698488, 'universal': 0.7966241294741505}",{'english': 0.717691108069848, 0.717691108069848,0.717691108
7,SuzyDefranco,"{'english': 0.6915799517497913, 'universal': 0.7334998320027682}",{'english': 0.691579951749791, 0.691579951749791,0.691579952
8,dorseydougdds,"{'english': 0.7384783166429812, 'universal': 0.7865642668428161}",{'english': 0.738478316642981, 0.738478316642981,0.738478317
9,Believe_N_USA,"{'english': 0.8240917140475522, 'universal': 0.8532920387559139}",{'english': 0.824091714047552, 0.824091714047552,0.824091714
10,stevekhalar,"{'english': 0.7470839770895665, 'universal': 0.7527121552274618}",{'english': 0.747083977089566, 0.747083977089566,0.747083977
11,PoliPosse,"{'english': 0.5778862084370772, 'universal': 0.7674214324358889}",{'english': 0.577886208437077, 0.577886208437077,0.577886208
12,Mnwll123,"{'english': 0.7852210697594887, 'universal': 0.7674214324358889}",{'english': 0.785221069759488, 0.785221069759488,0.78522107
13,Stevenminer,"{'english': 0.3342309004634953, 'universal': 0.28846389695411967}",{'english': 0.334230900463495, 0.334230900463495,0.3342309
14,denlusk13,"{'english': 0.8457543526336647, 'universal': 0.9197876419218655}",{'english': 0.845754352633664, 0.845754352633664,0.845754353
15,AlmaAttila,"{'english': 0.7892294694438972, 'universal': 0.8043181589918191}",{'english': 0.789229469443897, 0.789229469443897,0.789229469
16,WooblyBadoobly,"{'english': 0.7759887465100499, 'universal': 0.7334998320027682}",{'english': 0.775988746510049, 0.775988746510049,0.775988747
17,Koczur_David_L,"{'english': 0.7826357858330618, 'universal': 0.8055586579935085}",{'english': 0.782635785833061, 0.782635785833061,0.782635786
18,MargaretjoPeggy,"{'english': 0.4479465575931997, 'universal': 0.4658392474232361}",{'english': 0.447946557593199, 0.447946557593199,0.447946558
19,dw_subbed,"{'english': 0.4479465575931997, 'universal': 0.7089830786080018}",{'english': 0.447946557593199, 0.447946557593199,0.447946558
20,Manny60639087,"{'english': 0.7892294694438972, 'universal': 0.7733457112766196}",{'english': 0.789229469443897, 0.789229469443897,0.789229469
21,cannoneerfour,"{'english': 0.9077975241648624, 'universal': 0.9121502174127201}",{'english': 0.907797524164862, 0.907797524164862,0.907797524
22,KbakerKim,"{'english': 0.6414184221423734, 'universal': 0.6207049850511144}",{'english': 0.641418422142373, 0.641418422142373,0.641418422
23,Amps76,"{'english': 0.8829632678129363, 'universal': 0.8963872382550993}",{'english': 0.882963267812936, 0.882963267812936,0.882963268
24,Morganna2017,"{'english': 0.621687023966582, 'universal': 0.7437205366967014}",{'english': 0.621687023966582, 0.621687023966582,0.621687024
25,truthtsar,"{'english': 0.8339181685112829, 'universal': 0.8963872382550993}",{'english': 0.833918168511282, 0.833918168511282,0.833918169
26,itunes65,"{'english': 0.5539725719744064, 'universal': 0.5222398722127631}",{'english': 0.553972571974406, 0.553972571974406,0.553972572
27,Jake67_patriot,"{'english': 0.5288664776112156, 'universal': 0.5742686032713971}",{'english': 0.528866477611215, 0.528866477611215,0.528866478
28,francvs,"{'english': 0.7717813288270262, 'universal': 0.7865642668428161}",{'english': 0.771781328827026, 0.771781328827026,0.771781329
29,Charlie73290849,"{'english': 0.779581525363529, 'universal': 0.7089830786080018}",{'english': 0.779581525363529, 0.779581525363529,0.779581525
30,mbbklowry,"{'english': 0.3342309004634953, 'universal': 0.40673978557586005}",{'english': 0.334230900463495, 0.334230900463495,0.3342309
31,FrankG27559038,"{'english': 0.8021481695167405, 'universal': 0.8052746490850863}",{'english': 0.802148169516740, 0.802148169516740,0.80214817
32,browneyegirl400,"{'english': 0.8339181685112829, 'universal': 0.8421031637823202}",{'english': 0.833918168511282, 0.833918168511282,0.833918169
33,realMicahLarson,"{'english': 0.4756769663222349, 'universal': 0.37678996390568303}",{'english': 0.475676966322234, 0.475676966322234,0.475676966
34,daffodil139,"{'english': 0.8240917140475522, 'universal': 0.8372129323854712}",{'english': 0.824091714047552, 0.824091714047552,0.824091714
35,Tommy02049825,"{'english': 0.8287549877594508, 'universal': 0.82211302959919}",{'english': 0.828754987759450, 0.828754987759450,0.828754988
36,CrassCynic,"{'english': 0.3912159239072283, 'universal': 0.3469210182245441}",{'english': 0.391215923907228, 0.391215923907228,0.391215924
37,LizzyRoss911,"{'english': 0.7952555385005927, 'universal': 0.799570188835745}",{'english': 0.795255538500592, 0.795255538500592,0.795255539
38,WDTrades,"{'english': 0.7287106185584935, 'universal': 0.7784494983408411}",{'english': 0.728710618558493, 0.728710618558493,0.728710619
39,socalrn4,"{'english': 0.7968624754031172, 'universal': 0.799570188835745}",{'english': 0.796862475403117, 0.796862475403117,0.796862475
40,Socorro46656493,"{'english': 0.8036706514015852, 'universal': 0.7982287282125168}",{'english': 0.803670651401585, 0.803670651401585,0.803670651
41,NeckHigh,"{'english': 0.7892294694438972, 'universal': 0.7897432630001835}",{'english': 0.789229469443897, 0.789229469443897,0.789229469
42,LutherLutheran,"{'english': 0.6763619064808265, 'universal': 0.5488888157824968}",{'english': 0.676361906480826, 0.676361906480826,0.676361906
43,Quintonm612,"{'english': 0.4756769663222349, 'universal': 0.49449072748283696}",{'english': 0.475676966322234, 0.475676966322234,0.475676966
44,jr_darkknight13,"{'english': 0.7053377817049258, 'universal': 0.7089830786080018}",{'english': 0.705337781704925, 0.705337781704925,0.705337782
45,vicenquintero,"{'english': 0.8036706514015852, 'universal': 0.7334998320027682}",{'english': 0.803670651401585, 0.803670651401585,0.803670651
46,PaulRaiiin15,"{'english': 0.7826357858330618, 'universal': 0.7897432630001835}",{'english': 0.782635785833061, 0.782635785833061,0.782635786
47,kevincrull,"{'english': 0.7287106185584935, 'universal': 0.5488888157824968}",{'english': 0.728710618558493, 0.728710618558493,0.728710619
48,LivinInMN1,"{'english': 0.6414184221423734, 'universal': 0.5222398722127631}",{'english': 0.641418422142373, 0.641418422142373,0.641418422
49,d_janthony,"{'english': 0.7668769621923945, 'universal': 0.7966241294741505}",{'english': 0.766876962192394, 0.766876962192394,0.766876962
50,Montcrist2,"{'english': 0.3912159239072283, 'universal': 0.40673978557586005}",{'english': 0.391215923907228, 0.391215923907228,0.391215924
51,PatriotsLodge,"{'english': 0.7287106185584935, 'universal': 0.7334998320027682}",{'english': 0.728710618558493, 0.728710618558493,0.728710619
52,GlendaEly2,"{'english': 0.8021481695167405, 'universal': 0.8006881983123656}",{'english': 0.802148169516740, 0.802148169516740,0.80214817
53,clovertah,"{'english': 0.4197222421546159, 'universal': 0.5488888157824968}",{'english': 0.419722242154615, 0.419722242154615,0.419722242
54,littleo2021,"{'english': 0.6004883262510591, 'universal': 0.7089830786080018}",{'english': 0.600488326251059, 0.600488326251059,0.600488326
55,CATTLECAPERS,"{'english': 0.621687023966582, 'universal': 0.6207049850511144}",{'english': 0.621687023966582, 0.621687023966582,0.621687024
56,JeanneMAdams,"{'english': 0.7546218700467833, 'universal': 0.6784864269642225}",{'english': 0.754621870046783, 0.754621870046783,0.75462187
57,travis77eaton,"{'english': 0.7983123643488195, 'universal': 0.805428834471509}",{'english': 0.798312364348819, 0.798312364348819,0.798312364
58,Linda_RoseW,"{'english': 0.4197222421546159, 'universal': 0.49449072748283696}",{'english': 0.419722242154615, 0.419722242154615,0.419722242
59,KPH2020eyes,"{'english': 0.795728227940139, 'universal': 0.8035432096295109}",{'english': 0.795728227940139, 0.795728227940139,0.795728228
60,deanyb71,"{'english': 0.6414184221423734, 'universal': 0.8091273704655436}",{'english': 0.641418422142373, 0.641418422142373,0.641418422
61,LeePaige16,"{'english': 0.6763619064808265, 'universal': 0.7089830786080018}",{'english': 0.676361906480826, 0.676361906480826,0.676361906
62,davespencernews,"{'english': 0.7852210697594887, 'universal': 0.7527121552274618}",{'english': 0.785221069759488, 0.785221069759488,0.78522107
63,BrookMiller4,"{'english': 0.3912159239072283, 'universal': 0.4658392474232361}",{'english': 0.391215923907228, 0.391215923907228,0.391215924
64,restark1,"{'english': 0.7470839770895665, 'universal': 0.6945161422354588}",{'english': 0.747083977089566, 0.747083977089566,0.747083977
65,JalalNoir,"{'english': 0.7892294694438972, 'universal': 0.7784494983408411}",{'english': 0.789229469443897, 0.789229469443897,0.789229469
66,strong_617,"{'english': 0.7546218700467833, 'universal': 0.6207049850511144}",{'english': 0.754621870046783, 0.754621870046783,0.75462187
67,deeclarea17,"{'english': 0.7611878625273879, 'universal': 0.7865642668428161}",{'english': 0.761187862527387, 0.761187862527387,0.761187863
68,SebasJC_CR,"{'english': 0.7966668301280437, 'universal': 0.7966241294741505}",{'english': 0.796666830128043, 0.796666830128043,0.79666683
69,MichaelC0717,"{'english': 0.5778862084370772, 'universal': 0.6784864269642225}",{'english': 0.577886208437077, 0.577886208437077,0.577886208
70,auntfifi4trump,"{'english': 0.7967206940193189, 'universal': 0.805401613592116}",{'english': 0.796720694019318, 0.796720694019318,0.796720694
71,DGatlim,"{'english': 0.7176911080698488, 'universal': 0.5982419966968565}",{'english': 0.717691108069848, 0.717691108069848,0.717691108
72,LeBrisket,"{'english': 0.5288664776112156, 'universal': 0.7527121552274618}",{'english': 0.528866477611215, 0.528866477611215,0.528866478
73,Snow65Snow,"{'english': 0.621687023966582, 'universal': 0.6608500314332488}",{'english': 0.621687023966582, 0.621687023966582,0.621687024
74,LoanWolfXLV,"{'english': 0.7973765977480777, 'universal': 0.8043181589918191}",{'english': 0.797376597748077, 0.797376597748077,0.797376598
75,cranky_ctyankee,"{'english': 0.7952555385005927, 'universal': 0.8054092120440788}",{'english': 0.795255538500592, 0.795255538500592,0.795255539
76,19Yrag,"{'english': 0.7826357858330618, 'universal': 0.801617083559931}",{'english': 0.782635785833061, 0.782635785833061,0.782635786
77,ridercoachr1100,"{'english': 0.797782173166965, 'universal': 0.7089830786080018}",{'english': 0.797782173166965, 0.797782173166965,0.797782173
78,Chris0X0Cross,"{'english': 0.6763619064808265, 'universal': 0.5742686032713971}",{'english': 0.676361906480826, 0.676361906480826,0.676361906
79,SorbelThorn,"{'english': 0.7874002196908744, 'universal': 0.8052475029769541}",{'english': 0.787400219690874, 0.787400219690874,0.78740022
80,Gingerod,"{'english': 0.7874002196908744, 'universal': 0.7437205366967014}",{'english': 0.787400219690874, 0.787400219690874,0.78740022
81,sueschreck3,"{'english': 0.7384783166429812, 'universal': 0.7733457112766196}",{'english': 0.738478316642981, 0.738478316642981,0.738478317
82,brexitleo,"{'english': 0.7952555385005927, 'universal': 0.8053747654061287}",{'english': 0.795255538500592, 0.795255538500592,0.795255539
83,triggers_truth,"{'english': 0.7611878625273879, 'universal': 0.6784864269642225}",{'english': 0.761187862527387, 0.761187862527387,0.761187863
84,wildride1313,"{'english': 0.8100783815308749, 'universal': 0.8102129289660348}",{'english': 0.810078381530874, 0.810078381530874,0.810078382
85,MichaelDBlush1,"{'english': 0.7989890411370751, 'universal': 0.8064216072785402}",{'english': 0.798989041137075, 0.798989041137075,0.798989041
86,MistaCrypto,"{'english': 0.8054784364249085, 'universal': 0.7828265255249504}",{'english': 0.805478436424908, 0.805478436424908,0.805478436
87,Winters96310300,"{'english': 0.7826357858330618, 'universal': 0.7527121552274618}",{'english': 0.782635785833061, 0.782635785833061,0.782635786
88,Jagged1969,"{'english': 0.7966368747455678, 'universal': 0.8030212452554465}",{'english': 0.796636874745567, 0.796636874745567,0.796636875
89,SpoonWitherknox,"{'english': 0.7546218700467833, 'universal': 0.7784494983408411}",{'english': 0.754621870046783, 0.754621870046783,0.75462187
90,Tempe21,"{'english': 0.2520419704315795, 'universal': 0.43650814830094437}",{'english': 0.252041970431579, 0.252041970431579,0.25204197
91,TX_Embassy,"{'english': 0.8457543526336647, 'universal': 0.8885263643630983}",{'english': 0.845754352633664, 0.845754352633664,0.845754353
92,smittyJ03,"{'english': 0.36264564124632276, 'universal': 0.2603678379426137}",{'english': 0.362645641246322, 0.362645641246322,0.362645641
93,ToddWestman,"{'english': 0.7969290189014606, 'universal': 0.8045992970534486}",{'english': 0.796929018901460, 0.796929018901460,0.796929019
94,DorthyEstabrook,"{'english': 0.9077975241648624, 'universal': 0.8288069415530707}",{'english': 0.907797524164862, 0.907797524164862,0.907797524
95,maarc80,"{'english': 0.7998362042473794, 'universal': 0.8052478284119403}",{'english': 0.799836204247379, 0.799836204247379,0.799836204
96,KellyThrives,"{'english': 0.5288664776112156, 'universal': 0.31739450135566455}",{'english': 0.528866477611215, 0.528866477611215,0.528866478
97,AlanLipinski3,"{'english': 0.5027122940873614, 'universal': 0.49449072748283696}",{'english': 0.502712294087361, 0.502712294087361,0.502712294
98,DavidWaldorf3,"{'english': 0.7826357858330618, 'universal': 0.7334998320027682}",{'english': 0.782635785833061, 0.782635785833061,0.782635786
99,1.55927E+18,,,,
100,lucy_wayne2003,"{'english': 0.7968624754031172, 'universal': 0.805428834471509}",{'english': 0.796862475403117, 0.796862475403117,0.796862475
101,GabrielPoletz,"{'english': 0.3342309004634953, 'universal': 0.5222398722127631}",{'english': 0.334230900463495, 0.334230900463495,0.3342309
102,T101001011,"{'english': 0.5539725719744064, 'universal': 0.5222398722127631}",{'english': 0.553972571974406, 0.553972571974406,0.553972572
103,xxDarkrai007,"{'english': 0.3912159239072283, 'universal': 0.4658392474232361}",{'english': 0.391215923907228, 0.391215923907228,0.391215924
104,TinaNewman007,"{'english': 0.5027122940873614, 'universal': 0.5982419966968565}",{'english': 0.502712294087361, 0.502712294087361,0.502712294
105,octohorse,"{'english': 0.5539725719744064, 'universal': 0.7437205366967014}",{'english': 0.553972571974406, 0.553972571974406,0.553972572
106,terry_burritt,"{'english': 0.7907586934369296, 'universal': 0.49449072748283696}",{'english': 0.790758693436929, 0.790758693436929,0.790758693
107,cjj90,"{'english': 0.3342309004634953, 'universal': 0.40673978557586005}",{'english': 0.334230900463495, 0.334230900463495,0.3342309
108,DavidEYork2,"{'english': 0.7967206940193189, 'universal': 0.8006881983123656}",{'english': 0.796720694019318, 0.796720694019318,0.796720694
109,JamesSMcGowan,"{'english': 0.8395863545645614, 'universal': 0.8052478284119403}",{'english': 0.839586354564561, 0.839586354564561,0.839586355
110,pickles_couger,"{'english': 0.5539725719744064, 'universal': 0.49449072748283696}",{'english': 0.553972571974406, 0.553972571974406,0.553972572
111,RussGoPackGo,"{'english': 0.4756769663222349, 'universal': 0.49449072748283696}",{'english': 0.475676966322234, 0.475676966322234,0.475676966
112,beccay4,"{'english': 0.7176911080698488, 'universal': 0.7674214324358889}",{'english': 0.717691108069848, 0.717691108069848,0.717691108
113,brogdon_terry,"{'english': 0.659646495284545, 'universal': 0.7219510972984345}",{'english': 0.659646495284545, 0.659646495284545,0.659646495
114,JayJdmoore,"{'english': 0.7946723107742963, 'universal': 0.7897432630001835}",{'english': 0.794672310774296, 0.794672310774296,0.794672311
115,KbakerKim,"{'english': 0.6414184221423734, 'universal': 0.6207049850511144}",{'english': 0.641418422142373, 0.641418422142373,0.641418422
116,srgogo1776,"{'english': 0.7176911080698488, 'universal': 0.6608500314332488}",{'english': 0.717691108069848, 0.717691108069848,0.717691108
117,DerbyGuruAj,"{'english': 0.0, 'universal': 0.0}","{'english': 0.0, 'universal':"," 0.0, 'universal':"," 0.0, 'universal':"
118,JackLtila,"{'english': 0.8457543526336647, 'universal': 0.8052176344738626}",{'english': 0.845754352633664, 0.845754352633664,0.845754353
119,teriahart,"{'english': 0.3342309004634953, 'universal': 0.4658392474232361}",{'english': 0.334230900463495, 0.334230900463495,0.3342309
120,jdhoss,"{'english': 0.4197222421546159, 'universal': 0.37678996390568303}",{'english': 0.419722242154615, 0.419722242154615,0.419722242
121,mattpawelk,"{'english': 0.2520419704315795, 'universal': 0.2603678379426137}",{'english': 0.252041970431579, 0.252041970431579,0.25204197
122,BeckyJ1961,"{'english': 0.3912159239072283, 'universal': 0.40673978557586005}",{'english': 0.391215923907228, 0.391215923907228,0.391215924
123,PastorTimGraham,"{'english': 0.2787259978325127, 'universal': 0.2603678379426137}",{'english': 0.278725997832512, 0.278725997832512,0.278725998
124,Kjjty190,"{'english': 0.7384783166429812, 'universal': 0.7089830786080018}",{'english': 0.738478316642981, 0.738478316642981,0.738478317
125,hrdrckminer,"{'english': 0.4479465575931997, 'universal': 0.5222398722127631}",{'english': 0.447946557593199, 0.447946557593199,0.447946558
126,JasonKa72972462,"{'english': 0.30618807248975083, 'universal': 0.43650814830094437}",{'english': 0.306188072489750, 0.306188072489750,0.306188072
127,renae95838742,"{'english': 0.7546218700467833, 'universal': 0.7527121552274618}",{'english': 0.754621870046783, 0.754621870046783,0.75462187
128,wsfForever,"{'english': 0.5539725719744064, 'universal': 0.6608500314332488}",{'english': 0.553972571974406, 0.553972571974406,0.553972572
129,GreenAr76188234,"{'english': 0.7717813288270262, 'universal': 0.7947108099739177}",{'english': 0.771781328827026, 0.771781328827026,0.771781329
130,VV07125790,"{'english': 0.659646495284545, 'universal': 0.760577756485164}",{'english': 0.659646495284545, 0.659646495284545,0.659646495
131,loganogle3,"{'english': 0.812935016236137, 'universal': 0.8052176344738626}",{'english': 0.812935016236137, 0.812935016236137,0.812935016
132,MKMMAkayb,"{'english': 0.7053377817049258, 'universal': 0.7897432630001835}",{'english': 0.705337781704925, 0.705337781704925,0.705337782
133,joey_tweedy,"{'english': 0.8021481695167405, 'universal': 0.792436790569533}",{'english': 0.802148169516740, 0.802148169516740,0.80214817
134,IronRangeRepub,"{'english': 0.6414184221423734, 'universal': 0.7219510972984345}",{'english': 0.641418422142373, 0.641418422142373,0.641418422
135,vondrachek,"{'english': 0.659646495284545, 'universal': 0.6784864269642225}",{'english': 0.659646495284545, 0.659646495284545,0.659646495
136,Dylan45204352,"{'english': 0.7384783166429812, 'universal': 0.8055586579935085}",{'english': 0.738478316642981, 0.738478316642981,0.738478317
137,scottmn55342,"{'english': 0.4197222421546159, 'universal': 0.6415870166679795}",{'english': 0.419722242154615, 0.419722242154615,0.419722242
138,usnrjacobs,"{'english': 0.30618807248975083, 'universal': 0.37678996390568303}",{'english': 0.306188072489750, 0.306188072489750,0.306188072
139,FarmNwhatnot,"{'english': 0.22631829961109876, 'universal': 0.28846389695411967}",{'english': 0.226318299611098, 0.226318299611098,0.2263183
140,benda_jeff,"{'english': 0.8339181685112829, 'universal': 0.8052478284119403}",{'english': 0.833918168511282, 0.833918168511282,0.833918169
